family,features,C,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,validation_minimum_probability,validation_maximum_probability,half_life,shrinkage_prior,srs_alpha,srs_half_life_days,pca_components
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.03,0.6339309221036101,0.21841617970463134,0.7104309303262184,0.656641604010025,0.5439897707317056,0.5213032581453634,0.052552793099436355,0.9742041199328526,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.05,0.6363460761643933,0.21890544066696327,0.7104309303262184,0.656641604010025,0.5433244495878322,0.5213032581453634,0.04561291462163122,0.9780684220073181,,,,,1.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.0075,0.6278870752697857,0.21766758651686188,0.7106071284736206,0.6516290726817042,0.5474703808698729,0.5213032581453634,0.10884807051680219,0.9403603464399957,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.01,0.6284797523984247,0.21756615554203307,0.7104812726540475,0.6541353383458647,0.5467290040146281,0.5213032581453634,0.09136343584279315,0.9514849722083227,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.005,0.6286710545622899,0.2184217921372369,0.7107329842931936,0.6616541353383458,0.5485573074663161,0.5213032581453634,0.14222365802211817,0.9180546277629763,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.015,0.630311376422243,0.21779300532329235,0.7104812726540476,0.656641604010025,0.5458153005791475,0.5213032581453634,0.07366429340678055,0.9623336839149653,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.02,0.6319381560584767,0.21808789806035186,0.7106071284736206,0.6641604010025063,0.5452848287745222,0.5213032581453634,0.06493615784187706,0.9675214673856368,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.003,0.6332487994408864,0.22080503832808548,0.7106322996375353,0.6616541353383458,0.5497784644209053,0.5213032581453634,0.20043204661784111,0.8760648642501547,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.03,0.6342319229539474,0.21855003962048813,0.7105064438179622,0.6616541353383458,0.5447022662321206,0.5213032581453634,0.05660077369722722,0.9723771428217096,,,,,2.0
pca_2_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.05,0.6367545173495274,0.2190881917405074,0.7103302456705598,0.6641604010025063,0.5442355881540846,0.5213032581453634,0.05023923279434469,0.976032350421363,,,,,2.0
pure_ewma_half_life_12,net_wins_diff + cumulative_margin_diff + pure_ewma_12_diff,0.015,0.6290649243417589,0.21799741764063743,0.709197543294402,0.6641604010025063,0.5492082017000584,0.5213032581453634,0.12646840302218604,0.9357903640135351,12.0,,,,
